nama_brand,nama_produk,url
Avoskin,Miraculous Refining Toner,https://incidecoder.com/products/avoskin-miraculous-refining-toner
Azarine,Hydrasoothe Sunscreen Gel SPF45,https://incidecoder.com/products/azarine-hydrasoothe-sunscreen-gel-spf45
Labore,Sunscreen (Labore Sunscreen),https://incidecoder.com/products/labore-biomeprotect-physical-sunscreen
COSRX,Low pH Good Morning Gel Cleanser,https://incidecoder.com/products/cosrx-low-ph-good-morning-gel-cleanser
Cetaphil,Gentle Skin Cleanser,https://incidecoder.com/products/cetaphil-gentle-skin-cleanser
CeraVe,Moisturizing Cream,https://incidecoder.com/products/cerave-moisturizing-cream
The Ordinary,Glycolic Acid 7% Toning Solution,https://incidecoder.com/products/the-ordinary-glycolic-acid-7-toning-solution
Some By Mi,AHA BHA PHA 30 Days Miracle Toner,https://incidecoder.com/products/some-by-mi-aha-bha-pha-30-days-miracle-toner
Skintific,Niacinamide Brightening Serum,https://incidecoder.com/products/skintific-10-niacinamide-brightening-serum
SKIN1004,Brightening (Tone Brightening Ampoule/Capsule Ampoule),https://incidecoder.com/products/skin1004-madagascar-centella-tone-brightening-capsule-ampoule
